NAME,NORTH,EAST
B.M Birla Plarnetarium,26.906,75.8069
Rajasthan Cultural Festival,26.904838,75.742387
Bapu Bazar,26.920431,75.823904
Hot Air Balloon,26.906624,75.79639
Jeep Safari,26.9124,75.7873
Cycling,26.9124,75.7873
Flying Fox,27.9939,76.3861
Amer Fort,26.9855,75.8513
Jantar Mantar,26.9248,75.8246
Hawa Mahal,26.9239,75.8267
City Palace,26.9258,75.8237
Jaigarh Fort,26.9851,75.8456
Jal Mahal,26.9534,75.8461
Nargarh Fort,26.9373,75.8156
Albert Hall,26.9117,75.8195
City Palace,26.9258,75.8237
Dolls,26.9003,75.8174
SRC,26.9021,75.8195
Jaipur Wax,26.9392,75.8162
Man Sagar Lake,26.9568,75.8496
Central Park,26.9049,75.8072
Kesar Kyari Garden,26.985,75.8525
Nahargarh Biologic,27.017,75.865
Panna Meena,26.9911,75.8512
Garh Ganesh,26.945,75.8282
Khole ke Hanuman,26.9341,75.854
Govind Dev,26.9289,75.8241
Step Well,26.9934,75.8508
